2025-09-24 17:27:58 | INFO     | dental_system.state.estado_intervencion_servicios | _crear_servicios_ejemplo:182 | 📋 Usando servicios de ejemplo: 5 servicios
2025-09-24 17:27:58 | WARNING  | dental_system.state.estado_intervencion_servicios | servicios_para_selector:128 | ⚠️ Usando servicios de ejemplo: 5 servicios
2025-09-24 17:28:21 | INFO     | dental_system.state.estado_intervencion_servicios | _crear_servicios_ejemplo:182 | 📋 Usando servicios de ejemplo: 5 servicios
2025-09-24 17:28:21 | WARNING  | dental_system.state.estado_intervencion_servicios | servicios_para_selector:128 | ⚠️ Usando servicios de ejemplo: 5 servicios
2025-09-24 17:32:14 | INFO     | dental_system.state.estado_intervencion_servicios | _crear_servicios_ejemplo:182 | 📋 Usando servicios de ejemplo: 5 servicios
2025-09-24 17:32:14 | WARNING  | dental_system.state.estado_intervencion_servicios | servicios_para_selector:128 | ⚠️ Usando servicios de ejemplo: 5 servicios
2025-09-24 17:33:21 | INFO     | dental_system.state.estado_intervencion_servicios | _crear_servicios_ejemplo:182 | 📋 Usando servicios de ejemplo: 5 servicios
2025-09-24 17:33:21 | WARNING  | dental_system.state.estado_intervencion_servicios | servicios_para_selector:128 | ⚠️ Usando servicios de ejemplo: 5 servicios
2025-09-24 17:35:01 | INFO     | dental_system.state.estado_intervencion_servicios | _crear_servicios_ejemplo:182 | 📋 Usando servicios de ejemplo: 5 servicios
2025-09-24 17:35:01 | WARNING  | dental_system.state.estado_intervencion_servicios | servicios_para_selector:128 | ⚠️ Usando servicios de ejemplo: 5 servicios
2025-09-24 17:49:49 | INFO     | dental_system.state.estado_intervencion_servicios | _crear_servicios_ejemplo:182 | 📋 Usando servicios de ejemplo: 5 servicios
2025-09-24 17:49:49 | WARNING  | dental_system.state.estado_intervencion_servicios | servicios_para_selector:128 | ⚠️ Usando servicios de ejemplo: 5 servicios
2025-09-24 17:51:59 | INFO     | dental_system.state.estado_intervencion_servicios | _crear_servicios_ejemplo:182 | 📋 Usando servicios de ejemplo: 5 servicios
2025-09-24 17:51:59 | WARNING  | dental_system.state.estado_intervencion_servicios | servicios_para_selector:128 | ⚠️ Usando servicios de ejemplo: 5 servicios
2025-09-24 18:00:38 | INFO     | dental_system.state.estado_intervencion_servicios | _crear_servicios_ejemplo:182 | 📋 Usando servicios de ejemplo: 5 servicios
2025-09-24 18:00:38 | WARNING  | dental_system.state.estado_intervencion_servicios | servicios_para_selector:128 | ⚠️ Usando servicios de ejemplo: 5 servicios
2025-09-24 18:02:10 | INFO     | dental_system.state.estado_intervencion_servicios | _crear_servicios_ejemplo:182 | 📋 Usando servicios de ejemplo: 5 servicios
2025-09-24 18:02:10 | WARNING  | dental_system.state.estado_intervencion_servicios | servicios_para_selector:128 | ⚠️ Usando servicios de ejemplo: 5 servicios
2025-09-24 18:03:55 | INFO     | dental_system.state.estado_intervencion_servicios | _crear_servicios_ejemplo:182 | 📋 Usando servicios de ejemplo: 5 servicios
2025-09-24 18:03:55 | WARNING  | dental_system.state.estado_intervencion_servicios | servicios_para_selector:128 | ⚠️ Usando servicios de ejemplo: 5 servicios
2025-09-24 18:06:31 | INFO     | dental_system.state.estado_intervencion_servicios | _crear_servicios_ejemplo:182 | 📋 Usando servicios de ejemplo: 5 servicios
2025-09-24 18:06:31 | WARNING  | dental_system.state.estado_intervencion_servicios | servicios_para_selector:128 | ⚠️ Usando servicios de ejemplo: 5 servicios
2025-09-24 18:09:43 | INFO     | dental_system.state.estado_intervencion_servicios | _crear_servicios_ejemplo:182 | 📋 Usando servicios de ejemplo: 5 servicios
2025-09-24 18:09:43 | WARNING  | dental_system.state.estado_intervencion_servicios | servicios_para_selector:128 | ⚠️ Usando servicios de ejemplo: 5 servicios
2025-09-24 18:10:51 | INFO     | dental_system.state.estado_intervencion_servicios | _crear_servicios_ejemplo:182 | 📋 Usando servicios de ejemplo: 5 servicios
2025-09-24 18:10:51 | WARNING  | dental_system.state.estado_intervencion_servicios | servicios_para_selector:128 | ⚠️ Usando servicios de ejemplo: 5 servicios
2025-09-24 18:37:48 | INFO     | dental_system.supabase.auth | sign_in:71 | 🔐 Autenticando usuario: gerente@odontomara.com
2025-09-24 18:37:48 | INFO     | dental_system.supabase.auth | sign_in:84 | ✅ Autenticación con Supabase exitosa para: gerente@odontomara.com
2025-09-24 18:37:48 | INFO     | dental_system.supabase.auth | sign_in:87 | 🔍 Buscando usuario en BD con auth_user_id: 8046caa1-add0-4391-a048-d47e3aedf637
2025-09-24 18:37:48 | INFO     | dental_system.supabase.tablas.usuarios | get_by_auth_id:255 | Buscando usuario con auth_user_id: 8046caa1-add0-4391-a048-d47e3aedf637
2025-09-24 18:37:49 | INFO     | dental_system.supabase.tablas.usuarios | get_by_auth_id:258 | Usuario encontrado: True
2025-09-24 18:37:49 | INFO     | dental_system.supabase.auth | sign_in:94 | ✅ Usuario encontrado en BD: gerente@odontomara.com
2025-09-24 18:37:49 | INFO     | dental_system.supabase.auth | sign_in:97 | 📋 Obteniendo información básica del usuario: 25356728-1a6e-4cb4-b466-b2b9a31e11ca
2025-09-24 18:37:49 | INFO     | dental_system.supabase.tablas.usuarios | get_user_basic_info:264 | Obteniendo info básica del usuario: 25356728-1a6e-4cb4-b466-b2b9a31e11ca
2025-09-24 18:37:49 | INFO     | dental_system.supabase.tablas.base | get_by_id:69 | Obteniendo registro 25356728-1a6e-4cb4-b466-b2b9a31e11ca de usuarios
2025-09-24 18:37:49 | INFO     | dental_system.supabase.tablas.usuarios | get_user_basic_info:279 | Usuario con rol obtenido: gerente@odontomara.com - gerente
2025-09-24 18:37:49 | INFO     | dental_system.supabase.auth | sign_in:104 | ✅ Información del usuario obtenida - Rol: gerente
2025-09-24 18:37:49 | INFO     | dental_system.supabase.auth | sign_in:107 | ⏰ Actualizando último acceso para: 25356728-1a6e-4cb4-b466-b2b9a31e11ca
